log_var,lab_var,num_wells,wells_found_in,r_values,avg_r,avg_abs_r,std_r,consistent_direction
Log_GR,Lab_XRF_Cl,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.23586180577366928), 'HRDH_697': np.float64(0.7384174281093585)}",0.487139617,0.487139617,0.251277811,TRUE
Log_SLGN,Lab_XRF_Ca,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.7488873976038521), 'HRDH_697': np.float64(-0.2227265230340072)}",0.263080437,0.48580696,0.48580696,FALSE
Log_KTH,Lab_XRD_Quartz,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.5492465874529502), 'HRDH_697': np.float64(-0.4174531032430594)}",0.065896742,0.483349845,0.483349845,FALSE
Log_ZDNC,Lab_XRD_Dickite,2,"['HRDH_1804', 'HRDH_1867']","{'HRDH_1804': np.float64(-0.28062806831506876), 'HRDH_1867': np.float64(0.6851570219667268)}",0.202264477,0.482892545,0.482892545,FALSE
Log_ZDEN,Lab_XRD_Dickite,2,"['HRDH_1804', 'HRDH_1867']","{'HRDH_1804': np.float64(-0.2793489621408352), 'HRDH_1867': np.float64(0.6850868296823688)}",0.202868934,0.482217896,0.482217896,FALSE
Log_ZDNC,Lab_XRF_Na,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(-0.5588914724312315), 'HRDH_697': np.float64(-0.40156802392408825)}",-0.480229748,0.480229748,0.078661724,TRUE
Log_ZDEN,Lab_XRF_Na,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(-0.5587260122955062), 'HRDH_697': np.float64(-0.4015399799009284)}",-0.480132996,0.480132996,0.078593016,TRUE
Log_HRD1,Lab_XRF_Fe,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.5552047559347988), 'HRDH_697': np.float64(0.4044782260000853)}",0.479841491,0.479841491,0.075363265,TRUE
Log_SHR,Lab_XRF_Al,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(-0.40191916709579584), 'HRDH_697': np.float64(0.5552617941415784)}",0.076671314,0.478590481,0.478590481,FALSE
Log_HRD2,Lab_XRF_Ca,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.7129244052228397), 'HRDH_697': np.float64(-0.2439444826373493)}",0.234489961,0.478434444,0.478434444,FALSE
