log_var,lab_var,num_wells,wells_found_in,r_values,avg_r,avg_abs_r,std_r,consistent_direction,HRDH_1119_r,HRDH_1867_r,HRDH_1804_r,HRDH_697_r
Log_SHR,Lab_XRF_Sr,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.5516965630366356, 'HRDH_697': 0.829647595382766}",0.6906720792097008,0.6906720792097008,0.1389755161730652,True,0.5516965630366356,,,0.829647595382766
Log_PE,Lab_XRF_Sr,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': -0.5602074125554198, 'HRDH_697': -0.8180887219782134}",-0.6891480672668167,0.6891480672668167,0.12894065471139676,True,-0.5602074125554198,,,-0.8180887219782134
Log_SLGN,Lab_XRF_Na,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.7709030146054829, 'HRDH_697': -0.5808929005646031}",0.09500505702043993,0.675897957585043,0.675897957585043,False,0.7709030146054829,,,-0.5808929005646031
Log_LSN,Lab_XRF_Cl,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': -0.5550950647577072, 'HRDH_697': -0.7717210356242598}",-0.6634080501909835,0.6634080501909835,0.10831298543327628,True,-0.5550950647577072,,,-0.7717210356242598
Log_SHR,Lab_XRF_Fe,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': -0.4945601387218971, 'HRDH_697': 0.8312745748539674}",0.16835721806603515,0.6629173567879323,0.6629173567879323,False,-0.4945601387218971,,,0.8312745748539674
Log_PE,Lab_XRF_Fe,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.5072450071348475, 'HRDH_697': -0.7970616305834632}",-0.14490831172430785,0.6521533188591554,0.6521533188591554,False,0.5072450071348475,,,-0.7970616305834632
Log_SLGN,Lab_XRF_Fe,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.6623217600908808, 'HRDH_697': -0.6136233972496148}",0.024349181420633026,0.6379725786702478,0.6379725786702478,False,0.6623217600908808,,,-0.6136233972496148
Log_SSN,Lab_XRD_Dickite,2,"['HRDH_1804', 'HRDH_1867']","{'HRDH_1804': -0.5481777476442977, 'HRDH_1867': -0.7223914890806046}",-0.6352846183624512,0.6352846183624512,0.08710687071815343,True,,-0.7223914890806046,-0.5481777476442977,
Log_CNC,Lab_XRF_Cl,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.47981749087662795, 'HRDH_697': 0.7899651883013871}",0.6348913395890075,0.6348913395890075,0.15507384871237956,True,0.47981749087662795,,,0.7899651883013871
Log_CN,Lab_XRF_Cl,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.4716036946667791, 'HRDH_697': 0.7899555594974765}",0.6307796270821278,0.6307796270821278,0.15917593241534872,True,0.4716036946667791,,,0.7899555594974765
Log_GR,Lab_XRF_Na,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.4879238812488824, 'HRDH_697': 0.7694250551801534}",0.6286744682145179,0.6286744682145179,0.14075058696563547,True,0.4879238812488824,,,0.7694250551801534
Log_SFT2,Lab_XRF_Si,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.6340933512171651, 'HRDH_697': -0.6134466788886029}",0.010323336164281105,0.623770015052884,0.623770015052884,False,0.6340933512171651,,,-0.6134466788886029
Log_ZCOR,Lab_XRF_Fe,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.5210092727508503, 'HRDH_697': 0.7235275640546261}",0.6222684184027383,0.6222684184027383,0.10125914565188791,True,0.5210092727508503,,,0.7235275640546261
Log_SSD,Lab_XRF_Si,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.5370078523902075, 'HRDH_697': -0.7052148347097468}",-0.08410349115976962,0.6211113435499771,0.6211113435499771,False,0.5370078523902075,,,-0.7052148347097468
Log_SSD,Lab_XRF_Fe,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.5826521905191554, 'HRDH_697': 0.6588404817504486}",0.620746336134802,0.620746336134802,0.03809414561564661,True,0.5826521905191554,,,0.6588404817504486
Log_SSD,Lab_XRF_K,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.4771300306591319, 'HRDH_697': 0.7553496470819825}",0.6162398388705572,0.6162398388705572,0.1391098082114253,True,0.4771300306591319,,,0.7553496470819825
Log_LSN,Lab_XRD_Dickite,2,"['HRDH_1804', 'HRDH_1867']","{'HRDH_1804': -0.5216931737990013, 'HRDH_1867': -0.7000114600443247}",-0.610852316921663,0.610852316921663,0.08915914312266171,True,,-0.7000114600443247,-0.5216931737990013,
Log_KTH,Lab_XRF_Na,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.5513387811995442, 'HRDH_697': 0.6646795904310444}",0.6080091858152943,0.6080091858152943,0.056670404615750125,True,0.5513387811995442,,,0.6646795904310444
Log_PE,Lab_XRF_Si,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.42912978895357445, 'HRDH_697': 0.7834378787755274}",0.6062838338645509,0.6062838338645509,0.17715404491097647,True,0.42912978895357445,,,0.7834378787755274
Log_SLGN,Lab_XRF_Si,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.6293997314318829, 'HRDH_697': 0.5818953557833366}",0.6056475436076098,0.6056475436076098,0.02375218782427313,True,0.6293997314318829,,,0.5818953557833366
Log_K,Lab_XRF_Na,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': 0.42977180379829283, 'HRDH_697': 0.7679059299315695}",0.5988388668649312,0.5988388668649312,0.16906706306663832,True,0.42977180379829283,,,0.7679059299315695
