Lab_Depth,Lab_Sample_ID,Lab_XRD_Calcite,Lab_XRD_Dolomite,Lab_XRD_Ankerite,Lab_XRD_Siderite,Lab_XRD_Quartz,Lab_XRD_Plagioclase,Lab_XRD_K-Feldspar,Lab_XRD_Illite/Mica,Lab_XRD_Smectite,Lab_XRD_Kaolinite,Lab_XRD_Dickite,Lab_XRD_Chlorite,Lab_XRD_Mixed Clay,Lab_XRD_Anhydrite,Lab_XRD_Gypsum,Lab_XRD_Pyrite,Lab_XRD_Anatase,Lab_XRD_Iron,Lab_XRD_Hematite,Log_Depth,Log_BIT,Log_CAL,Log_CALX,Log_CN,Log_CNC,Log_FRAMENO,Log_GR,Log_GRSLC,Log_HRD1,Log_HRD2,Log_KC,Log_KTHC,Log_LSN,Log_PE,Log_RTHKC,Log_RTHUC,Log_RUKC,Log_SFT2,Log_SHR,Log_SPD,Log_SSD,Log_SSN,Log_TEN,Log_THC,Log_TTEN,Log_UC,Log_WRM,Log_WTBH,Log_ZCOR,Log_ZDEN,Log_ZDNC,Distance,Match_Type
14949.17,27,0,0,0,0,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,14949.25,5.875,5.9777794,5.9690404,0.20090184,1.0763319,1878,107.12391,52.897,766.43774,933.3064,0.902,44.933,10458.436,2.1986256,9.844,6.591,1.493,644.31885,0.6157416,5.0867434,21529.516,10732.65,7.6793523,8.875,6115.3433,1.347,0.016172733,290.8907,0.058891777,2.5656662,2.558817,0.07999999999992724,Near
14949.5,28,0,0,0,0,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,14949.5,5.875,5.986208,5.9777794,0.40861318,1.2933854,1879,105.33156,51.012,768.5215,937.3894,0.866,43.256,10335.78,2.152609,10.078,6.612,1.524,648.58484,0.61659944,5.081666,21185.012,10645.625,10.447521,8.724,6118.1167,1.32,0.016901849,291.11264,0.05612417,2.5613236,2.5544984,0.0,Exact
14949.83,29,0,0,0,0,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,14949.75,5.875,5.991329,5.986208,0.53734106,1.425502,1880,100.844696,46.35,771.61957,940.9732,0.803,39.261,10398.025,2.1065319,10.314,6.659,1.549,654.1914,0.62038535,5.0838075,21061.975,10643.849,11.609163,8.284,6119.2266,1.244,0.017843623,291.341,0.05208322,2.5555825,2.5487893,0.07999999999992724,Near
14963.58,30,0,0,0,0,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,14963.5,5.875,5.982789,5.9854226,0.10549828,0.9613381,1935,91.04784,36.303,767.5021,932.78674,0.871,31.411,10956.327,1.9658011,6.528,5.7,1.145,657.48987,0.66041595,5.146071,20867.428,10917.065,-1.6520734,5.686,6104.1655,0.997,0.023316767,290.2578,0.028768012,2.5354033,2.5287237,0.07999999999992724,Near
14963.92,31,0,0,0,0,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,14964.0,5.875,5.9687204,5.97655,0.17116708,1.0386574,1937,99.596176,45.15,737.1071,900.912,0.947,38.735,10901.178,2.0108013,6.876,5.561,1.236,629.06036,0.65087867,5.151477,20532.71,10854.299,7.3219285,6.515,6112.992,1.171,0.025870252,290.05637,0.029686766,2.5525477,2.5457714,0.07999999999992724,Near
14964.25,32,0,0,0,0,99.9,0,0,0.0,0,0,0.0,0,0,0,0,0,0.1,0.0,0,14964.25,5.875,5.9611897,5.9687204,0.20492919,1.0809108,1938,99.46217,45.002,723.7161,887.21716,0.95,38.636,11008.1455,2.0200675,6.858,5.58,1.229,616.74426,0.64717305,5.143748,20473.193,10890.655,9.658912,6.513,6115.229,1.167,0.026659641,290.15625,0.030317672,2.5604303,2.55361,0.0,Exact
14983.17,33,0,0,0,0,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,14983.25,5.875,5.970196,5.9651155,-0.5121614,0.31069812,2014,85.11592,30.084,689.4689,841.592,0.718,28.394,12735.904,1.8659164,8.362,17.687,0.473,595.40216,0.66342294,5.1753793,20481.809,11776.14,-15.699575,6.005,6072.165,0.34,0.031989925,291.38754,0.034388818,2.5866168,2.579653,0.07999999999992724,Near
14983.42,34,0,0,0,0,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,14983.5,5.875,5.980851,5.970196,-0.5478692,0.26855847,2015,83.32776,28.229,690.8144,845.334,0.72,26.606,12875.004,1.8747786,7.621,16.211,0.47,599.4159,0.6649506,5.155434,20543.617,11832.723,-20.890907,5.487,6067.4995,0.338,0.032266982,291.3505,0.034238376,2.5850236,2.5780685,0.07999999999992724,Near
14983.75,35,0,0,0,0,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,14983.75,5.875,5.9960995,5.980851,-0.5962511,0.20884289,2016,81.56229,26.419,693.3685,850.2478,0.717,25.078,13032.34,1.8915349,7.132,17.67,0.404,603.92566,0.665085,5.1305037,20585.463,11903.919,-23.731482,5.115,6065.2715,0.289,0.031628303,291.24893,0.03423069,2.5829067,2.5759633,0.0,Exact
14996.71,36,0,0,0,0,99.6,0,0,0.3,0,0,0.0,0,0,0,0,0,0.1,0.0,0,14996.75,5.875,5.9763265,5.9851336,-0.5025947,0.30671754,2068,85.84186,30.967,689.54895,843.5847,0.836,30.023,12626.996,2.080311,8.337,33.412,0.25,582.5764,0.6299404,5.1086283,20508.385,11753.854,-17.651129,6.967,6076.9805,0.209,0.027269311,291.5175,0.034309182,2.5859487,2.5789886,0.040000000000873115,Near
14997.0,37,0,0,0,0,99.9,0,0,0.0,0,0,0.0,0,0,0,0,0,0.1,0.0,0,14997.0,5.875,5.9706244,5.9763265,-0.51003265,0.3049663,2069,85.94379,31.057,689.27167,843.41583,0.83,30.029,12631.251,2.0431454,8.354,30.723,0.272,582.981,0.63138,5.1025467,20539.367,11776.04,-17.528929,6.931,6077.698,0.226,0.0286744,291.86615,0.03413507,2.5859013,2.5789416,0.0,Exact
14997.33,38,0,0,0,0,99.6,0,0,0.4,0,0,0.0,0,0,0,0,0,0.0,0.0,0,14997.25,5.875,5.9697766,5.9706244,-0.51358634,0.30520976,2070,85.92404,31.024,689.6731,842.89795,0.827,29.915,12605.867,2.016512,8.318,28.278,0.294,586.009,0.6354546,5.1039057,20540.553,11782.573,-16.841782,6.881,6079.014,0.243,0.029094063,292.22473,0.033999648,2.585799,2.5788398,0.07999999999992724,Near
15019.17,39,0,0,0,0,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,15019.25,5.875,5.9835343,5.9796867,-0.4369665,0.38130185,2158,79.63783,24.558,722.1162,887.23083,0.734,24.258,12641.461,2.149841,7.189,76.698,0.094,605.03204,0.6286241,5.1446977,20818.223,11742.008,52.992302,5.278,6153.7617,0.069,0.025769506,292.46866,0.03623905,2.56678,2.5599248,0.07999999999992724,Near
15019.5,40,0,0,0,0,99.7,0,0,0.3,0,0,0.0,0,0,0,0,0,0.0,0.0,0,15019.5,5.875,5.9867954,5.9835343,-0.50326747,0.3071276,2159,79.22607,24.121,721.4673,886.9491,0.715,23.844,12786.385,2.1551151,7.23,82.139,0.088,604.2136,0.6269222,5.1561923,20753.129,11797.495,43.12096,5.169,6142.968,0.063,0.025818402,292.2539,0.035295404,2.566088,2.5592365,0.0,Exact
15019.83,41,0,0,0,0,99.6,0,0,0.4,0,0,0.0,0,0,0,0,0,0.0,0.0,0,15019.75,5.875,5.9883046,5.9867954,-0.56720746,0.23594004,2160,78.78615,23.64,720.13324,882.74744,0.698,23.365,12907.352,2.16946,7.29,81.604,0.089,602.1383,0.62649816,5.1617675,20661.164,11856.587,30.82983,5.088,6129.909,0.062,0.02590514,291.98715,0.03463594,2.5669277,2.5600715,0.07999999999992724,Near
